family,null,measure,scope,estimate,B,boot_mean,boot_bias,se,pct_lo,pct_hi,basic_lo,basic_hi,norm_lo,norm_hi,mcse_lo,mcse_hi,p_pct_2sided,p_norm_2sided,obs,null_mean,cond_sd,z_cond,z_boot,holm_pct_2sided,holm_norm_2sided
dt,N2,sil,HVA_HVA,0.009238557847233523,1000,0.008544228527546167,-0.0006943293196873552,0.007877414622143834,-0.005781228805573149,0.025605051092917844,-0.007127935398450799,0.024258344500040194,-0.006201174812168392,0.024678290506635437,0.000496237402799232,0.0007876776858366514,0.24,0.24087978726955872,,,,,1.1727906033108175,1.0,1.0
dt,N2,sil,V1_HVA,0.014969755266072393,1000,0.01466768379301009,-0.0003020714730623021,0.011770430776530677,-0.0077296011784848875,0.03784119108257657,-0.007901680550431781,0.03766911171062967,-0.008100289055927733,0.03803979958807252,0.0009002543113254942,0.0009414204336809494,0.214,0.2034405233426091,,,,,1.271810314361724,1.0,1.0
dt,N2,sil,HVA_V1,0.010757615208992547,1000,0.010314292809218785,-0.00044332239977376217,0.006930728199481412,-0.0024479097409366994,0.02477520128475949,-0.0032599708667743962,0.023963140158921793,-0.002826612061991021,0.024341842479976117,0.0004943353580272078,0.0008029779520728553,0.116,0.12062338780113487,,,,,1.552162326867396,0.928,0.9649871024090789
dt,N2,Fsil,all,0.0019640018430848484,1000,0.0019297901841575235,-3.421165892732495e-05,0.0013234826087204286,-0.0005601778958831639,0.0045248696561448155,-0.0005968659699751187,0.004488181582052861,-0.0006300240700071917,0.0045580277561768886,8.42476954407855e-05,9.796388739505301e-05,0.14,0.13781821138209027,0.08429365104783017,0.08232964920474532,,,1.4839649800791017,,
dt,N2,Fsil,V1_V1,0.00030943731297015405,1000,0.00026875310271470463,-4.068421025544942e-05,0.0008789780423507887,-0.0014159329267990752,0.002017671943145337,-0.001398797317205029,0.0020348075527393834,-0.0014133596500373919,0.0020322342759777,6.172354181689249e-05,6.824990756847778e-05,0.772,0.7248066580012927,,,,,0.3520421421934243,,
dt,N2,Fsil,HVA_HVA,0.0029731778690143124,1000,0.002867888122288946,-0.00010528974672536617,0.002819098636601841,-0.002349343603223958,0.008487879483644836,-0.0025415237456162115,0.008295699341252582,-0.0025522554587252963,0.008498611196753922,0.00018256078492427872,0.00019554434754123483,0.318,0.2915829129703952,,,,,1.0546554953459164,,
dt,N2,Fsil,V1_HVA,0.0029578168763943155,1000,0.0031977957125933283,0.00023997883619901288,0.003995894141834126,-0.004609268631972248,0.011234024277429573,-0.005318390524640942,0.010524902384760879,-0.004874135641600571,0.010789769394389201,0.00032512011049147884,0.0003593136984960677,0.414,0.4591701403199997,,,,,0.7402140225458199,,
dt,N2,Fsil,HVA_V1,0.0016623636757011969,1000,0.001602790415249834,-5.957326045136278e-05,0.0014732935231042798,-0.0010971411596714658,0.004547145474886279,-0.0012224181234838849,0.004421868511073859,-0.0012252916295831915,0.004550018980985586,9.823013646818926e-05,0.00013494172406506493,0.262,0.2591798920663575,,,,,1.1283316254581366,,
dt,N3,sil,all,0.006712052970141323,1000,0.006100292046017472,-0.0006117609241238506,0.003656172542487268,-0.0007945035937770666,0.013431207002646524,-7.101062363878627e-06,0.014218609534059711,-0.00045404521313372175,0.013878151153416368,0.00022911428416516863,0.0002657943660053485,0.084,0.06638516087141233,0.09654049406161969,0.08982844109147838,0.0011841783970210314,5.709318371469931,1.835814062969567,,
dt,N3,sil,V1_V1,0.0011050293820752896,1000,0.0006538665904219011,-0.00045116279165338853,0.0037746284706822552,-0.005998875019668953,0.00834666718916189,-0.006136608425011311,0.008208933783819532,-0.006293242420461931,0.00850330118461251,0.00022559676639236746,0.0003315687276565268,0.892,0.7697118519946828,,,,,0.29275182727468757,1.0,1.0
