# a_re a_im b_re b_im | D on the segment ball | D(a)
9/2 12/5 9/2 121/50 | [-3.3e+2 +/- 8.01] + [-3.7e+2 +/- 6.74]j | [-3.28e+2 +/- 0.226] + [-369.7 +/- 0.0816]j
9/2 121/50 9/2 61/25 | [-3.3e+2 +/- 9.34] + [-4e+2 +/- 31.3]j | [-3.27e+2 +/- 0.210] + [-3.73e+2 +/- 0.300]j
9/2 61/25 9/2 123/50 | [-3e+2 +/- 30.5] + [-3.8e+2 +/- 8.16]j | [-325.5 +/- 0.0881] + [-3.76e+2 +/- 0.219]j
9/2 123/50 9/2 62/25 | [-3.2e+2 +/- 9.08] + [-3.8e+2 +/- 6.02]j | [-324.2 +/- 0.0688] + [-378.9 +/- 0.0832]j
9/2 62/25 9/2 5/2 | [-3.2e+2 +/- 7.74] + [-3.8e+2 +/- 9.11]j | [-3.23e+2 +/- 0.215] + [-382.0 +/- 0.0652]j
9/2 5/2 9/2 63/25 | [-3.2e+2 +/- 6.39] + [-3.9e+2 +/- 8.95]j | [-321.5 +/- 0.0720] + [-385.1 +/- 0.0732]j
9/2 63/25 9/2 127/50 | [-3.2e+2 +/- 6.15] + [-3.9e+2 +/- 5.87]j | [-320.1 +/- 0.0830] + [-3.88e+2 +/- 0.230]j
9/2 127/50 9/2 64/25 | [-3.2e+2 +/- 7.55] + [-3.9e+2 +/- 8.39]j | [-3.19e+2 +/- 0.319] + [-3.91e+2 +/- 0.312]j
9/2 64/25 9/2 129/50 | [-3.2e+2 +/- 8.95] + [-4e+2 +/- 9.73]j | [-3.17e+2 +/- 0.416] + [-3.94e+2 +/- 0.394]j
9/2 129/50 9/2 13/5 | [-3e+2 +/- 20.9] + [-4.0e+2 +/- 6.66]j | [-3.16e+2 +/- 0.109] + [-397.4 +/- 0.0757]j
9/2 13/5 9/2 131/50 | [-3.1e+2 +/- 9.47] + [-4.0e+2 +/- 7.67]j | [-3.15e+2 +/- 0.521] + [-400.5 +/- 0.0645]j
9/2 131/50 9/2 66/25 | [-3.1e+2 +/- 8.05] + [-4e+2 +/- 10.8]j | [-313.1 +/- 0.0820] + [-403.6 +/- 0.0827]j
9/2 66/25 9/2 133/50 | [-3.1e+2 +/- 6.62] + [-4.1e+2 +/- 7.44]j | [-311.7 +/- 0.0756] + [-4.07e+2 +/- 0.401]j
9/2 133/50 9/2 67/25 | [-3.1e+2 +/- 6.14] + [-4.1e+2 +/- 6.94]j | [-3.10e+2 +/- 0.306] + [-4.10e+2 +/- 0.320]j
9/2 67/25 9/2 27/10 | [-3.1e+2 +/- 7.61] + [-4e+2 +/- 20.1]j | [-308.8 +/- 0.0745] + [-412.8 +/- 0.0864]j
9/2 27/10 9/2 68/25 | [-3.1e+2 +/- 9.09] + [-4.2e+2 +/- 8.23]j | [-307.3 +/- 0.0856] + [-415.9 +/- 0.0686]j
9/2 68/25 9/2 137/50 | [-3e+2 +/- 10.8] + [-4.2e+2 +/- 6.22]j | [-3.06e+2 +/- 0.217] + [-419.0 +/- 0.0738]j
9/2 137/50 9/2 69/25 | [-3.0e+2 +/- 9.32] + [-4.2e+2 +/- 9.31]j | [-3.04e+2 +/- 0.423] + [-422.1 +/- 0.0920]j
9/2 69/25 9/2 139/50 | [-3.0e+2 +/- 7.82] + [-4.3e+2 +/- 9.01]j | [-3.03e+2 +/- 0.203] + [-4.25e+2 +/- 0.216]j
9/2 139/50 9/2 14/5 | [-3.0e+2 +/- 6.32] + [-4.3e+2 +/- 5.94]j | [-3.01e+2 +/- 0.416] + [-4.28e+2 +/- 0.298]j
9/2 14/5 9/2 141/50 | [-3.0e+2 +/- 6.66] + [-4.3e+2 +/- 8.59]j | [-3.00e+2 +/- 0.232] + [-431.3 +/- 0.0795]j
9/2 141/50 9/2 71/25 | [-3.0e+2 +/- 8.21] + [-4e+2 +/- 41.7]j | [-298.3 +/- 0.0649] + [-434.4 +/- 0.0646]j
